instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
215681797,842507,BANKEX25SEPFUT,BANKEX,0.0,2025-09-25,0.0,0.05,30,FUT,BFO-FUT,BFO
220537093,861473,BANKEX25OCTFUT,BANKEX,0.0,2025-10-30,0.0,0.05,30,FUT,BFO-FUT,BFO
223969541,874881,BANKEX25NOVFUT,BANKEX,0.0,2025-11-27,0.0,0.05,30,FUT,BFO-FUT,BFO
215645189,842364,SENSEX25SEPFUT,SENSEX,0.0,2025-09-25,0.0,0.05,20,FUT,BFO-FUT,BFO
220514309,861384,SENSEX25OCTFUT,SENSEX,0.0,2025-10-30,0.0,0.05,20,FUT,BFO-FUT,BFO
223700485,873830,SENSEX25NOVFUT,SENSEX,0.0,2025-11-27,0.0,0.05,20,FUT,BFO-FUT,BFO
215835653,843108,SENSEX5025SEPFUT,SENSEX50,0.0,2025-09-25,0.0,0.05,75,FUT,BFO-FUT,BFO
220618501,861791,SENSEX5025OCTFUT,SENSEX50,0.0,2025-10-30,0.0,0.05,75,FUT,BFO-FUT,BFO
223879685,874530,SENSEX5025NOVFUT,SENSEX50,0.0,2025-11-27,0.0,0.05,75,FUT,BFO-FUT,BFO
215531013,841918,BANKEX25SEP60500PE,BANKEX,0.0,2025-09-25,60500.0,0.05,30,PE,BFO-OPT,BFO
215778309,842884,BANKEX25SEP60500CE,BANKEX,0.0,2025-09-25,60500.0,0.05,30,CE,BFO-OPT,BFO
215561989,842039,BANKEX25SEP60600CE,BANKEX,0.0,2025-09-25,60600.0,0.05,30,CE,BFO-OPT,BFO
215627525,842295,BANKEX25SEP60600PE,BANKEX,0.0,2025-09-25,60600.0,0.05,30,PE,BFO-OPT,BFO
215540485,841955,BANKEX25SEP60400CE,BANKEX,0.0,2025-09-25,60400.0,0.05,30,CE,BFO-OPT,BFO
215608325,842220,BANKEX25SEP60400PE,BANKEX,0.0,2025-09-25,60400.0,0.05,30,PE,BFO-OPT,BFO
215550469,841994,BANKEX25SEP60700PE,BANKEX,0.0,2025-09-25,60700.0,0.05,30,PE,BFO-OPT,BFO
215797765,842960,BANKEX25SEP60700CE,BANKEX,0.0,2025-09-25,60700.0,0.05,30,CE,BFO-OPT,BFO
215618309,842259,BANKEX25SEP60300CE,BANKEX,0.0,2025-09-25,60300.0,0.05,30,CE,BFO-OPT,BFO
215827973,843078,BANKEX25SEP60300PE,BANKEX,0.0,2025-09-25,60300.0,0.05,30,PE,BFO-OPT,BFO
215581701,842116,BANKEX25SEP60800CE,BANKEX,0.0,2025-09-25,60800.0,0.05,30,CE,BFO-OPT,BFO
215646213,842368,BANKEX25SEP60800PE,BANKEX,0.0,2025-09-25,60800.0,0.05,30,PE,BFO-OPT,BFO
215588869,842144,BANKEX25SEP60200PE,BANKEX,0.0,2025-09-25,60200.0,0.05,30,PE,BFO-OPT,BFO
215838981,843121,BANKEX25SEP60200CE,BANKEX,0.0,2025-09-25,60200.0,0.05,30,CE,BFO-OPT,BFO
215571205,842075,BANKEX25SEP60900PE,BANKEX,0.0,2025-09-25,60900.0,0.05,30,PE,BFO-OPT,BFO
215820037,843047,BANKEX25SEP60900CE,BANKEX,0.0,2025-09-25,60900.0,0.05,30,CE,BFO-OPT,BFO
215599109,842184,BANKEX25SEP60100CE,BANKEX,0.0,2025-09-25,60100.0,0.05,30,CE,BFO-OPT,BFO
215662597,842432,BANKEX25SEP60100PE,BANKEX,0.0,2025-09-25,60100.0,0.05,30,PE,BFO-OPT,BFO
215682309,842509,BANKEX25SEP61000CE,BANKEX,0.0,2025-09-25,61000.0,0.05,30,CE,BFO-OPT,BFO
215750149,842774,BANKEX25SEP61000PE,BANKEX,0.0,2025-09-25,61000.0,0.05,30,PE,BFO-OPT,BFO
215569413,842068,BANKEX25SEP60000PE,BANKEX,0.0,2025-09-25,60000.0,0.05,30,PE,BFO-OPT,BFO
215817733,843038,BANKEX25SEP60000CE,BANKEX,0.0,2025-09-25,60000.0,0.05,30,CE,BFO-OPT,BFO
215673349,842474,BANKEX25SEP61100PE,BANKEX,0.0,2025-09-25,61100.0,0.05,30,PE,BFO-OPT,BFO
215783685,842905,BANKEX25SEP61100CE,BANKEX,0.0,2025-09-25,61100.0,0.05,30,CE,BFO-OPT,BFO
215568645,842065,BANKEX25SEP59900CE,BANKEX,0.0,2025-09-25,59900.0,0.05,30,CE,BFO-OPT,BFO
215633925,842320,BANKEX25SEP59900PE,BANKEX,0.0,2025-09-25,59900.0,0.05,30,PE,BFO-OPT,BFO
215703813,842593,BANKEX25SEP61200CE,BANKEX,0.0,2025-09-25,61200.0,0.05,30,CE,BFO-OPT,BFO
215774213,842868,BANKEX25SEP61200PE,BANKEX,0.0,2025-09-25,61200.0,0.05,30,PE,BFO-OPT,BFO
215642629,842354,BANKEX25SEP59800CE,BANKEX,0.0,2025-09-25,59800.0,0.05,30,CE,BFO-OPT,BFO
215707397,842607,BANKEX25SEP59800PE,BANKEX,0.0,2025-09-25,59800.0,0.05,30,PE,BFO-OPT,BFO
215693573,842553,BANKEX25SEP61300PE,BANKEX,0.0,2025-09-25,61300.0,0.05,30,PE,BFO-OPT,BFO
216289797,844882,BANKEX25SEP72100PE,BANKEX,0.0,2025-09-25,72100.0,0.05,30,PE,BFO-OPT,BFO
216433413,845443,BANKEX25SEP72100CE,BANKEX,0.0,2025-09-25,72100.0,0.05,30,CE,BFO-OPT,BFO
216304901,844941,BANKEX25SEP72000CE,BANKEX,0.0,2025-09-25,72000.0,0.05,30,CE,BFO-OPT,BFO
216390405,845275,BANKEX25SEP72000PE,BANKEX,0.0,2025-09-25,72000.0,0.05,30,PE,BFO-OPT,BFO
216474117,845602,BANKEX25SEP71900CE,BANKEX,0.0,2025-09-25,71900.0,0.05,30,CE,BFO-OPT,BFO
216561669,845944,BANKEX25SEP71900PE,BANKEX,0.0,2025-09-25,71900.0,0.05,30,PE,BFO-OPT,BFO
216106501,844166,BANKEX25SEP71800PE,BANKEX,0.0,2025-09-25,71800.0,0.05,30,PE,BFO-OPT,BFO
216166149,844399,BANKEX25SEP71800CE,BANKEX,0.0,2025-09-25,71800.0,0.05,30,CE,BFO-OPT,BFO
216111621,844186,BANKEX25SEP71700CE,BANKEX,0.0,2025-09-25,71700.0,0.05,30,CE,BFO-OPT,BFO
216148485,844330,BANKEX25SEP71700PE,BANKEX,0.0,2025-09-25,71700.0,0.05,30,PE,BFO-OPT,BFO
216154373,844353,BANKEX25SEP71600CE,BANKEX,0.0,2025-09-25,71600.0,0.05,30,CE,BFO-OPT,BFO
216190213,844493,BANKEX25SEP71600PE,BANKEX,0.0,2025-09-25,71600.0,0.05,30,PE,BFO-OPT,BFO
216100357,844142,BANKEX25SEP71500CE,BANKEX,0.0,2025-09-25,71500.0,0.05,30,CE,BFO-OPT,BFO
216139013,844293,BANKEX25SEP71500PE,BANKEX,0.0,2025-09-25,71500.0,0.05,30,PE,BFO-OPT,BFO
216144645,844315,BANKEX25SEP71400CE,BANKEX,0.0,2025-09-25,71400.0,0.05,30,CE,BFO-OPT,BFO
216181509,844459,BANKEX25SEP71400PE,BANKEX,0.0,2025-09-25,71400.0,0.05,30,PE,BFO-OPT,BFO
216128517,844252,BANKEX25SEP71300PE,BANKEX,0.0,2025-09-25,71300.0,0.05,30,PE,BFO-OPT,BFO
216186373,844478,BANKEX25SEP71300CE,BANKEX,0.0,2025-09-25,71300.0,0.05,30,CE,BFO-OPT,BFO
215950853,843558,BANKEX25SEP71200CE,BANKEX,0.0,2025-09-25,71200.0,0.05,30,CE,BFO-OPT,BFO
215996165,843735,BANKEX25SEP71200PE,BANKEX,0.0,2025-09-25,71200.0,0.05,30,PE,BFO-OPT,BFO
215539973,841953,BANKEX25SEP71100PE,BANKEX,0.0,2025-09-25,71100.0,0.05,30,PE,BFO-OPT,BFO
215785477,842912,BANKEX25SEP71100CE,BANKEX,0.0,2025-09-25,71100.0,0.05,30,CE,BFO-OPT,BFO
