expiry,days_to_expiry,strike,distance_from_spot,ce_symbol,pe_symbol,lot_size
2025-09-11,5,80300,-410.75999999999476,SENSEX2591180300CE,SENSEX2591180300PE,20
2025-09-11,5,80400,-310.75999999999476,SENSEX2591180400CE,SENSEX2591180400PE,20
2025-09-11,5,80500,-210.75999999999476,SENSEX2591180500CE,SENSEX2591180500PE,20
2025-09-11,5,80600,-110.75999999999476,SENSEX2591180600CE,SENSEX2591180600PE,20
2025-09-11,5,80700,-10.759999999994761,SENSEX2591180700CE,SENSEX2591180700PE,20
2025-09-11,5,80800,89.24000000000524,SENSEX2591180800CE,SENSEX2591180800PE,20
2025-09-11,5,80900,189.24000000000524,SENSEX2591180900CE,SENSEX2591180900PE,20
2025-09-11,5,81000,289.24000000000524,SENSEX2591181000CE,SENSEX2591181000PE,20
2025-09-11,5,81100,389.24000000000524,SENSEX2591181100CE,SENSEX2591181100PE,20
2025-09-11,5,81200,489.24000000000524,SENSEX2591181200CE,SENSEX2591181200PE,20
2025-09-18,12,80300,-410.75999999999476,SENSEX2591880300CE,SENSEX2591880300PE,20
2025-09-18,12,80400,-310.75999999999476,SENSEX2591880400CE,SENSEX2591880400PE,20
2025-09-18,12,80500,-210.75999999999476,SENSEX2591880500CE,SENSEX2591880500PE,20
2025-09-18,12,80600,-110.75999999999476,SENSEX2591880600CE,SENSEX2591880600PE,20
2025-09-18,12,80700,-10.759999999994761,SENSEX2591880700CE,SENSEX2591880700PE,20
2025-09-18,12,80800,89.24000000000524,SENSEX2591880800CE,SENSEX2591880800PE,20
2025-09-18,12,80900,189.24000000000524,SENSEX2591880900CE,SENSEX2591880900PE,20
2025-09-18,12,81000,289.24000000000524,SENSEX2591881000CE,SENSEX2591881000PE,20
2025-09-18,12,81100,389.24000000000524,SENSEX2591881100CE,SENSEX2591881100PE,20
2025-09-18,12,81200,489.24000000000524,SENSEX2591881200CE,SENSEX2591881200PE,20
2025-09-25,19,80300,-410.75999999999476,SENSEX25SEP80300CE,SENSEX25SEP80300PE,20
2025-09-25,19,80400,-310.75999999999476,SENSEX25SEP80400CE,SENSEX25SEP80400PE,20
2025-09-25,19,80500,-210.75999999999476,SENSEX25SEP80500CE,SENSEX25SEP80500PE,20
2025-09-25,19,80600,-110.75999999999476,SENSEX25SEP80600CE,SENSEX25SEP80600PE,20
2025-09-25,19,80700,-10.759999999994761,SENSEX25SEP80700CE,SENSEX25SEP80700PE,20
2025-09-25,19,80800,89.24000000000524,SENSEX25SEP80800CE,SENSEX25SEP80800PE,20
2025-09-25,19,80900,189.24000000000524,SENSEX25SEP80900CE,SENSEX25SEP80900PE,20
2025-09-25,19,81000,289.24000000000524,SENSEX25SEP81000CE,SENSEX25SEP81000PE,20
2025-09-25,19,81100,389.24000000000524,SENSEX25SEP81100CE,SENSEX25SEP81100PE,20
2025-09-25,19,81200,489.24000000000524,SENSEX25SEP81200CE,SENSEX25SEP81200PE,20
